"DATE","log_return","vol_20","mean_ret_20","drawdown","VIX_level","regime","econ_regime","regime_id","cum_return","strategy_log_return","strategy_cum_return","next_regime"
2021-02-02,0.0155013973410287,0.0136847303737858,0.00300418662101338,-0.00170211330457104,25.56,3,"Bear",0,0.0156221672278432,0,0,"Bear"
2021-02-03,-0.000164564792615711,0.0136866811110003,0.0029959583813826,-0.00186638447226783,22.91,3,"Bear",0,0.0154550453280848,0,0,"Bear"
2021-02-04,0.0122097537449968,0.0136579276175173,0.00391227943444547,0,21.77,3,"Bear",0,0.0279295014171788,0,0,"Bear"
2021-02-05,0.00568575652632726,0.0127111801240674,0.00293066508833843,0,20.87,3,"Bear",0,0.0337907051872697,0,0,"Bear"
2021-02-08,0.00943407966860314,0.0126880418799291,0.00289036320905274,0,21.24,3,"Bear",0,0.0435897187204131,0,0,"Bear"
2021-02-09,0.00143309589618913,0.0121621708453465,0.00359297162054963,0,21.63,3,"Bear",0,0.0450863550191405,0,0,"Bear"
2021-02-10,-0.00251391918667199,0.0122381124196097,0.00332939134602764,-0.00251076193807698,21.99,3,"Bear",0,0.0424623919769551,0,0,"Bear"
2021-02-11,0.00380309262846475,0.0122364808995983,0.00330383181404654,0,21.25,3,"Bear",0,0.0464345214158506,0,0,"Bear"
2021-02-12,0.00495711730550904,0.0121936886172157,0.00361384093337481,0,19.97,3,"Bear",0,0.0516346983860052,0,0,"Bear"
2021-02-16,-0.00340902516377955,0.011965409214791,0.00388052389076905,-0.00340322103484303,21.46,3,"Bear",0,0.0480557530594872,0,0,"Bear"
2021-02-17,-0.00585515750333752,0.0118443798249122,0.00282930580478443,-0.00922140233706281,21.5,3,"Bear",0,0.0419371517205722,0,0,"Bear"
2021-02-18,-0.00719564311099933,0.0113599434082008,0.00149378245555654,-0.0163251030295546,22.49,3,"Bear",0,0.034466653585399,0,0,"Bear"
2021-02-19,0.000656096566339022,0.0113224179974465,0.00125365210449647,-0.0156795055432702,22.05,3,"Bear",0,0.0351455863031664,0,0,"Bear"
2021-02-22,-0.0249148981963927,0.0127467187635298,-3.69698618303884e-05,-0.0399007624435368,23.45,3,"Bear",0,0.00967367210832482,0,0,"Bear"
2021-02-23,-0.00502626228314193,0.0126858438157644,-0.000630202072290717,-0.0447143656791862,23.11,3,"Bear",0,0.0046115199214527,0,0,"Bear"
2021-02-24,0.00981193741835513,0.0128987058206769,-0.000103180939664298,-0.0352950274095153,21.34,3,"Bear",0,0.0145172228816739,0,0,"Bear"
2021-02-25,-0.0358261794448139,0.0140293179451923,-0.000572836232094617,-0.0692449418146398,28.89,3,"Bear",0,-0.0211856851139899,0,0,"Bear"
2021-02-26,0.0055427786861748,0.014041121967845,-0.000545850406640248,-0.0640716485509174,27.95,3,"Bear",0,-0.0157452704129329,0,0,"Bear"
2021-03-01,0.0296110156052301,0.0147716096928348,0.00194379064220238,-0.0359434626869483,23.35,3,"Bear",0,0.0138353058442677,0,0,"Bear"
2021-03-02,-0.0170735365970128,0.0142912189792486,-0.000166653244577377,-0.0522635995819933,24.1,3,"Bear",0,-0.00332751639697126,0,0,"Bear"
2021-03-03,-0.0273983295856965,0.0150168272579706,-0.00231163959091364,-0.0778775024883881,26.67,3,"Bear",0,-0.0302639854544262,0,0,"Bear"
2021-03-04,-0.0213279461076174,0.0155921918126593,-0.00336980865666372,-0.0973362363936783,28.57,3,"Bear",0,-0.0507274652158896,0,0,"Bear"
2021-03-05,0.0153397887428787,0.0157714747152869,-0.00321330690676963,-0.0833828173164854,24.66,3,"Bear",0,-0.0360535655531923,0,0,"Bear"
2021-03-08,-0.0243645742347241,0.0163015668279134,-0.00471582344482219,-0.105445934048315,25.47,3,"Bear",0,-0.059255904662925,0,0,"Bear"
2021-03-09,0.0361882233529162,0.0184764610076141,-0.00337811626060654,-0.0724807331717212,24.03,3,"Bear",0,-0.0245885555818343,0,0,"Bear"
2021-03-10,-0.00038175166332422,0.0184560336315237,-0.00346885863858221,-0.0728347476174971,22.56,3,"Bear",0,-0.024960849456742,0,0,"Bear"
2021-03-11,0.024925442650495,0.0195199720639728,-0.00209689054672386,-0.0494343218069351,21.91,3,"Bear",0,-0.00035214971734765,0,0,"Bear"
2021-03-12,-0.00589929375304807,0.0194861604489314,-0.0025820098657995,-0.0550254798172745,20.69,3,"Bear",0,-0.00623200548517955,0,0,"Bear"
2021-03-15,0.0104446241185161,0.0196359600970066,-0.00230763452514915,-0.0451038525143184,20.03,3,"Bear",0,0.00420192205106318,0,0,"Bear"
2021-03-16,0.000880760273309725,0.0196467224222349,-0.00209314525329468,-0.0442624474387869,19.79,3,"Bear",0,0.00508677282389014,0,0,"Bear"
2021-03-17,0.00397307311557368,0.0196705723300797,-0.00160173372234912,-0.0404576789564305,19.23,3,"Bear",0,0.00908799937926164,0,0,"Bear"
2021-03-18,-0.0307087918868114,0.0206983122939482,-0.00277739116113973,-0.0694762217932428,21.58,3,"Bear",0,-0.0214289071645307,0,0,"Bear"
2021-03-19,0.00752488890473231,0.020814938494049,-0.00243395154422006,-0.0624477225661859,20.95,3,"Bear",0,-0.0140374934997787,0,0,"Bear"
2021-03-22,0.0122064722223447,0.0203547755476491,-0.000577883023283196,-0.0509333849811319,18.88,3,"Bear",0,-0.00192861656640575,0,0,"Bear"
2021-03-23,-0.0112640655971981,0.0204739652071428,-0.000889773188986006,-0.0615637506234269,20.3,3,"Bear",0,-0.0131078779323737,0,0,"Bear"
